[2022-08-24 15:36:08.6043] | Info | [2022/8/24 15:36:08]: 配置信息加载完成... 
[2022-08-24 15:36:08.6295] | Info | [2022/8/24 15:36:08]: 服务已启动成功... 
[2022-08-24 15:36:08.6301] | Info | [2022/8/24 15:36:08]: 欢迎使用翎风系列游戏软件... 
[2022-08-24 15:36:08.6301] | Info | [2022/8/24 15:36:08]: 网站:http://www.gameofmir.com 
[2022-08-24 15:36:08.6301] | Info | [2022/8/24 15:36:08]: 论坛:http://bbs.gameofmir.com 
[2022-08-24 15:36:08.6301] | Info | [2022/8/24 15:36:08]: 智能反外挂程序已启动... 
[2022-08-24 15:36:08.6301] | Info | [2022/8/24 15:36:08]: 智能反外挂程序云端已连接... 
[2022-08-24 15:36:08.6410] | Info | [2022/8/24 15:36:08]: 网关[10.10.0.102:7200]已启动... 
[2022-08-24 15:36:08.6412] | Info | [2022/8/24 15:36:08]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-24 15:36:08.6412] | Debug | [2022/8/24 15:36:08]: 线程[d2f0e0e43fdd4de7bd507990be608ab8]连接 10.10.0.102:5000 成功... 
[2022-08-24 15:36:08.6412] | Debug | [2022/8/24 15:36:08]: 消息消费线程[e6b42787180a49de8f59ffa4c0722238]已启动. 
[2022-08-24 15:36:08.6412] | Debug | [2022/8/24 15:36:08]: 消息消费线程[7af1dca83d7f46d1822e50523840eeb1]已启动. 
[2022-08-24 15:36:28.5139] | Debug | [2022/8/24 15:36:28]: 清理超时会话开始工作... 
[2022-08-24 15:36:28.5141] | Debug | [2022/8/24 15:36:28]: 清理超时会话工作完成... 
[2022-08-24 15:36:48.5204] | Debug | [2022/8/24 15:36:48]: 清理超时会话开始工作... 
[2022-08-24 15:36:48.5204] | Debug | [2022/8/24 15:36:48]: 清理超时会话工作完成... 
[2022-08-24 15:37:08.5229] | Debug | [2022/8/24 15:37:08]: 清理超时会话开始工作... 
[2022-08-24 15:37:08.5231] | Debug | [2022/8/24 15:37:08]: 清理超时会话工作完成... 
[2022-08-24 15:37:28.5272] | Debug | [2022/8/24 15:37:28]: 清理超时会话开始工作... 
[2022-08-24 15:37:28.5272] | Debug | [2022/8/24 15:37:28]: 清理超时会话工作完成... 
[2022-08-24 15:37:48.5300] | Debug | [2022/8/24 15:37:48]: 清理超时会话开始工作... 
[2022-08-24 15:37:48.5300] | Debug | [2022/8/24 15:37:48]: 清理超时会话工作完成... 
[2022-08-24 15:38:08.5344] | Debug | [2022/8/24 15:38:08]: 清理超时会话开始工作... 
[2022-08-24 15:38:08.5344] | Debug | [2022/8/24 15:38:08]: 清理超时会话工作完成... 
[2022-08-24 15:38:28.5346] | Debug | [2022/8/24 15:38:28]: 清理超时会话开始工作... 
[2022-08-24 15:38:28.5346] | Debug | [2022/8/24 15:38:28]: 清理超时会话工作完成... 
[2022-08-24 15:38:48.5386] | Debug | [2022/8/24 15:38:48]: 清理超时会话开始工作... 
[2022-08-24 15:38:48.5386] | Debug | [2022/8/24 15:38:48]: 清理超时会话工作完成... 
[2022-08-24 15:39:08.5460] | Debug | [2022/8/24 15:39:08]: 清理超时会话开始工作... 
[2022-08-24 15:39:08.5460] | Debug | [2022/8/24 15:39:08]: 清理超时会话工作完成... 
[2022-08-24 15:39:28.5520] | Debug | [2022/8/24 15:39:28]: 清理超时会话开始工作... 
[2022-08-24 15:39:28.5520] | Debug | [2022/8/24 15:39:28]: 清理超时会话工作完成... 
[2022-08-24 15:39:48.5540] | Debug | [2022/8/24 15:39:48]: 清理超时会话开始工作... 
[2022-08-24 15:39:48.5542] | Debug | [2022/8/24 15:39:48]: 清理超时会话工作完成... 
[2022-08-24 17:59:35.2765] | Info | [2022/8/24 17:59:35]: 配置信息加载完成... 
[2022-08-24 17:59:35.3125] | Info | [2022/8/24 17:59:35]: 服务已启动成功... 
[2022-08-24 17:59:35.3133] | Info | [2022/8/24 17:59:35]: 欢迎使用翎风系列游戏软件... 
[2022-08-24 17:59:35.3133] | Info | [2022/8/24 17:59:35]: 网站:http://www.gameofmir.com 
[2022-08-24 17:59:35.3133] | Info | [2022/8/24 17:59:35]: 论坛:http://bbs.gameofmir.com 
[2022-08-24 17:59:35.3133] | Info | [2022/8/24 17:59:35]: 智能反外挂程序已启动... 
[2022-08-24 17:59:35.3133] | Info | [2022/8/24 17:59:35]: 智能反外挂程序云端已连接... 
[2022-08-24 17:59:35.3240] | Info | [2022/8/24 17:59:35]: 网关[10.10.0.102:7200]已启动... 
[2022-08-24 17:59:35.3344] | Info | [2022/8/24 17:59:35]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-24 17:59:35.3344] | Debug | [2022/8/24 17:59:35]: 线程[cb08ecd950e9484d894d2112320b53ae]连接 10.10.0.102:5000 成功... 
[2022-08-24 17:59:35.3344] | Debug | [2022/8/24 17:59:35]: 消息消费线程[06f7e75d993445228bad26399e1f12c8]已启动. 
[2022-08-24 17:59:35.3351] | Debug | [2022/8/24 17:59:35]: 消息消费线程[21ea73049fb44454b19cb97d1005ed4a]已启动. 
