[2022-08-29 16:14:33.4597] | Info | [2022/8/29 16:14:33]: 配置信息加载完成... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 服务已启动成功... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 欢迎使用翎风系列游戏软件... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 网站:http://www.gameofmir.com 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 论坛:http://bbs.gameofmir.com 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 智能反外挂程序已启动... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 智能反外挂程序云端已连接... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: 网关[10.10.0.102:7200]已启动... 
[2022-08-29 16:14:33.5634] | Info | [2022/8/29 16:14:33]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-29 16:14:33.5642] | Debug | [2022/8/29 16:14:33]: 线程[e59fd9a58b09469ba6b39bb6edf60ad0]连接 10.10.0.102:5000 成功... 
[2022-08-29 16:14:33.5642] | Debug | [2022/8/29 16:14:33]: 消息消费线程[1978078077704f3faaeeee31cd97e584]已启动. 
[2022-08-29 16:14:33.5642] | Debug | [2022/8/29 16:14:33]: 消息消费线程[5c0885565c7945b7b919648c07da3d64]已启动. 
