[2022-08-19 11:15:49.2337] | Info | 正在启动服务... 
[2022-08-19 11:15:49.3297] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 11:15:49.3302] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 11:15:49.3302] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 11:15:49.3302] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 11:15:49.3383] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 11:20:29.9842] | Info | 正在启动服务... 
[2022-08-19 11:20:30.0709] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 11:20:30.0709] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 11:20:30.0709] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 11:20:30.0709] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 11:20:30.0787] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 11:28:35.9700] | Info | 正在启动服务... 
[2022-08-19 11:28:36.0423] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 11:28:36.0429] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 11:28:36.0429] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 11:28:36.0429] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 11:28:36.1629] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 11:42:51.7859] | Info | 正在启动服务... 
[2022-08-19 11:42:55.2745] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 11:42:55.2750] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 11:42:55.2750] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 11:42:55.2750] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 11:42:55.3560] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 11:44:38.5033] | Info | 正在启动服务... 
[2022-08-19 11:44:38.5626] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 11:44:38.5631] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 11:44:38.5631] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 11:44:38.5631] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 11:44:38.5707] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 13:16:26.1937] | Info | 正在启动服务... 
[2022-08-19 13:16:50.1549] | Info | 正在启动服务... 
[2022-08-19 13:16:52.4444] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 13:16:52.4451] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 13:16:52.4451] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 13:16:52.4451] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 13:17:03.8131] | Info | 正在启动服务... 
[2022-08-19 13:17:20.4947] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 13:17:20.4947] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 13:17:20.4947] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 13:17:20.4947] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 13:18:41.7629] | Info | 正在启动服务... 
[2022-08-19 13:18:41.8367] | Info | 登录网关[10.10.0.102:7000]已启动... 
[2022-08-19 13:18:41.8367] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 13:18:41.8367] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 13:18:41.8367] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 15:38:34.8323] | Info | 正在启动服务... 
[2022-08-19 15:38:34.8782] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 15:38:34.8782] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 15:38:34.8782] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 15:38:34.8885] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-19 15:38:38.0182] | Info | 账号服务器[127.0.0.1:7000]链接成功. 
[2022-08-19 15:39:00.1930] | Info | 正在启动服务... 
[2022-08-19 15:39:00.2427] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 15:39:00.2431] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 15:39:00.2431] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 15:39:00.2532] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-19 15:39:05.1520] | Info | 账号服务器[127.0.0.1:7000]链接成功. 
[2022-08-19 15:39:05.2286] | Info | 账号服务器[127.0.0.1:7000]断开链接. 
[2022-08-19 15:39:59.7374] | Info | 正在启动服务... 
[2022-08-19 15:39:59.7904] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-19 15:39:59.7909] | Info | 网站:http://www.gameofmir.com 
[2022-08-19 15:39:59.7909] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-19 15:39:59.7949] | Info | 登录网关[127.0.0.1:7000]已启动... 
[2022-08-19 15:39:59.8037] | Info | 账号服务器[10.10.0.102:5500]断开链接. 
[2022-08-19 15:40:04.8073] | Error | BackgroundService failed System.Exception: IP地址或端口号错误
   at SystemModule.Sockets.IClientScoket.Connect() in /Volumes/Project/OpenMir2/src/SystemModule/Sockets/AsyncSocketClient/IClientScoket.cs:line 40
   at LoginGate.ClientThread.ReConnected() in /Volumes/Project/OpenMir2/src/LoginGate/Services/ClientThread.cs:line 58
   at LoginGate.ClientManager.CheckSessionStatus(ClientThread clientThread) in /Volumes/Project/OpenMir2/src/LoginGate/Services/ClientManager.cs:line 174
   at LoginGate.TimedService.ProcessDelayMsg() in /Volumes/Project/OpenMir2/src/LoginGate/TimedService.cs:line 46
   at LoginGate.TimedService.ExecuteAsync(CancellationToken stoppingToken) in /Volumes/Project/OpenMir2/src/LoginGate/TimedService.cs:line 29
   at Microsoft.Extensions.Hosting.Internal.Host.TryExecuteBackgroundServiceAsync(BackgroundService backgroundService) 
 AsyncStateMachineBox`1.ExecutionContextCallback => <TryExecuteBackgroundServiceAsync>d__13.MoveNext => HostingLoggerExtensions.BackgroundServiceFaulted 

[2022-08-19 15:40:04.8233] | Fatal | The HostOptions.BackgroundServiceExceptionBehavior is configured to StopHost. A BackgroundService has thrown an unhandled exception, and the IHost instance is stopping. To avoid this behavior, configure this to Ignore; however the BackgroundService will not be restarted. System.Exception: IP地址或端口号错误
   at SystemModule.Sockets.IClientScoket.Connect() in /Volumes/Project/OpenMir2/src/SystemModule/Sockets/AsyncSocketClient/IClientScoket.cs:line 40
   at LoginGate.ClientThread.ReConnected() in /Volumes/Project/OpenMir2/src/LoginGate/Services/ClientThread.cs:line 58
   at LoginGate.ClientManager.CheckSessionStatus(ClientThread clientThread) in /Volumes/Project/OpenMir2/src/LoginGate/Services/ClientManager.cs:line 174
   at LoginGate.TimedService.ProcessDelayMsg() in /Volumes/Project/OpenMir2/src/LoginGate/TimedService.cs:line 46
