[2022-08-22 15:20:04.6118] | Debug | DBSvr is starting. 
[2022-08-22 15:20:04.6905] | Info | 数据库配置文件读取完成... 
[2022-08-22 15:20:04.7143] | Info | 读取网关配置信息.GameGateIP:[10.10.0.102:7200] 
[2022-08-22 15:20:04.7143] | Info | 读取网关配置信息成功.[1] 
[2022-08-22 15:20:04.9453] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-22 15:20:04.9831] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-22 15:20:20.5958] | Debug | DBSvr is starting. 
[2022-08-22 15:20:20.6748] | Info | 数据库配置文件读取完成... 
[2022-08-22 15:20:20.6764] | Info | 读取网关配置信息.GameGateIP:[10.10.0.102:7200] 
[2022-08-22 15:20:20.6764] | Info | 读取网关配置信息成功.[1] 
[2022-08-22 15:20:20.8674] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-22 15:20:20.9081] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-22 15:20:55.8726] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:20:55.8748] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:20:59.3508] | Info | 角色网关[0](10.10.0.102:59944)已打开... 
[2022-08-22 15:20:59.3575] | Debug | Received SelGate Heartbeat. 
[2022-08-22 15:21:00.8457] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:00.8457] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:05.9079] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:05.9083] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:09.3551] | Debug | Received SelGate Heartbeat. 
[2022-08-22 15:21:10.9631] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:10.9634] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:16.0126] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:16.0126] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:19.3564] | Debug | Received SelGate Heartbeat. 
[2022-08-22 15:21:21.0637] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:21.0637] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:26.1060] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-22 15:21:26.1064] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-22 15:21:29.3569] | Debug | Received SelGate Heartbeat. 
