[2022-08-30 15:08:51.8517] | Debug | DBSvr is starting. 
[2022-08-30 15:08:51.9628] | Info | 数据库配置文件读取完成... 
[2022-08-30 15:09:02.2349] | Debug | 重新链接账号服务器[]. 
[2022-08-30 15:09:17.5087] | Debug | DBSvr is starting. 
[2022-08-30 15:09:17.5933] | Info | 数据库配置文件读取完成... 
[2022-08-30 17:26:41.4090] | Debug | DBSvr is starting. 
[2022-08-30 17:26:41.5252] | Info | 数据库配置文件读取完成... 
[2022-08-30 17:26:41.5361] | Info | 读取网关配置信息.GameGateIP:[10.10.0.102:7200] 
[2022-08-30 17:26:41.5363] | Info | 读取网关配置信息成功.[1] 
[2022-08-30 17:26:41.8972] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-30 17:26:41.9765] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-30 17:26:57.4232] | Info | 角色网关[0](10.10.0.102:62813)已打开... 
[2022-08-30 17:26:57.4297] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:07.4259] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:16.9066] | Info | 账号服务器[10.10.0.102:5600]链接成功. 
[2022-08-30 17:27:17.4273] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:27.4279] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:37.4296] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:47.4307] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:27:57.4326] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:03.9609] | Debug | 收到账号中心同步会话消息. 
[2022-08-30 17:28:04.4385] | Debug | [QueryChr] Success ml=zmn?`b? 
[2022-08-30 17:28:07.4346] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:10.8747] | Debug | 发送游戏网关信息: GameRun:10.10.0.102 Port:7200 
[2022-08-30 17:28:17.4364] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:27.4371] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:37.4383] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:47.4393] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:28:57.4396] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:07.4414] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:17.4420] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:27.4428] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:37.4439] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:47.4459] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:29:57.4470] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:07.4478] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:17.4500] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:27.4514] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:37.4520] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:47.4534] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:30:57.4545] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:07.4550] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:17.4565] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:27.4573] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:37.4584] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:47.4590] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:31:57.4597] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:07.4605] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:17.4617] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:27.4627] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:37.4647] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:47.4666] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:32:57.4678] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:07.4690] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:17.4697] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:27.4710] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:37.4722] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:47.4733] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:33:57.4737] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:07.4748] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:17.4762] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:20.2077] | Debug | 收到账号中心同步会话消息. 
[2022-08-30 17:34:20.6811] | Debug | [QueryChr] Success ml=zmn?`c? 
[2022-08-30 17:34:27.4774] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:35.2510] | Debug | 发送游戏网关信息: GameRun:10.10.0.102 Port:7200 
[2022-08-30 17:34:37.4785] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:47.4800] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:34:57.4810] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:07.4824] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:17.4827] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:27.4837] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:37.4848] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:47.4864] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:35:57.4867] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:07.4876] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:17.4897] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:27.4913] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:37.4915] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:47.4935] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:36:57.4945] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:07.4946] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:17.4962] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:27.4972] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:37.4977] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:47.4989] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:37:57.5001] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:07.5013] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:17.5018] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:27.5033] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:37.5039] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:47.5051] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:38:57.5064] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:07.5068] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:17.5076] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:27.5086] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:37.5103] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:47.5112] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:39:57.5120] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:07.5128] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:17.5135] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:27.5151] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:37.5156] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:47.5170] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:40:57.5177] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:07.5185] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:17.5201] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:27.5216] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:37.5233] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:47.5239] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:41:57.5253] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:07.5255] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:17.5277] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:27.5296] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:37.5311] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:47.5320] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:42:57.5331] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:07.5338] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:17.5356] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:27.5373] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:37.5378] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:47.5399] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:43:57.5411] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:07.5426] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:17.5440] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:27.5457] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:37.5471] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:47.5486] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:44:57.5507] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:07.5520] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:17.5530] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:27.5537] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:37.5555] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:47.5567] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:45:57.5575] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:07.5585] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:17.5597] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:27.5614] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:33.9079] | Debug | 收到账号中心同步会话消息. 
[2022-08-30 17:46:34.3837] | Debug | [QueryChr] Success ml=zmn?``> 
[2022-08-30 17:46:37.5618] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:40.1616] | Debug | 发送游戏网关信息: GameRun:10.10.0.102 Port:7200 
[2022-08-30 17:46:47.5634] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:46:57.5644] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:07.5648] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:17.5658] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:27.5668] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:37.5686] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:47.5695] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:47:57.5714] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:48:07.5717] | Debug | Received SelGate Heartbeat. 
[2022-08-30 17:48:17.5728] | Debug | Received SelGate Heartbeat. 
