[2022-08-24 15:35:47.8897] | Debug | DBSvr is starting. 
[2022-08-24 15:35:48.0069] | Info | 数据库配置文件读取完成... 
[2022-08-24 15:35:48.0272] | Info | 读取网关配置信息.GameGateIP:[10.10.0.102:7200] 
[2022-08-24 15:35:48.0272] | Info | 读取网关配置信息成功.[1] 
[2022-08-24 15:35:48.4581] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-24 15:35:48.5610] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-24 15:35:51.4268] | Info | 角色网关[0](10.10.0.102:59743)已打开... 
[2022-08-24 15:35:51.4305] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:35:59.4720] | Info | 账号服务器[10.10.0.102:5600]链接成功. 
[2022-08-24 15:36:01.3833] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:36:11.3934] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:36:21.3951] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:36:31.3959] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:36:41.3974] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:36:51.3985] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:01.4003] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:11.4025] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:21.4045] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:31.4062] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:41.4071] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:37:51.4074] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:01.4084] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:11.4094] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:21.4106] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:31.4114] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:41.4134] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:38:51.4145] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:01.4161] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:11.4172] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:21.4179] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:31.4191] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:41.4198] | Debug | Received SelGate Heartbeat. 
[2022-08-24 15:39:51.4207] | Debug | Received SelGate Heartbeat. 
