[2022-08-16 23:41:19.7195] | Debug | DBSvr is starting. 
[2022-08-16 23:41:19.8301] | Info | 数据库配置文件读取完成... 
[2022-08-16 23:41:20.1307] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-16 23:41:20.2363] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-16 23:41:26.0195] | Info | 角色网关[0](10.10.0.102:57585)已打开... 
[2022-08-16 23:41:38.6473] | Info | 角色网关[0](10.10.0.102:57585)已关闭... 
[2022-08-16 23:43:24.9561] | Debug | DBSvr is starting. 
[2022-08-16 23:43:25.1549] | Info | 数据库配置文件读取完成... 
[2022-08-16 23:43:25.3544] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-16 23:43:25.3979] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-16 23:47:58.9999] | Debug | DBSvr is starting. 
[2022-08-16 23:47:59.1333] | Info | 数据库配置文件读取完成... 
[2022-08-16 23:47:59.3604] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-16 23:47:59.4041] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-16 23:48:00.9472] | Info | 角色网关[0](10.10.0.102:57798)已打开... 
[2022-08-16 23:48:03.7429] | Info | 角色网关[0](10.10.0.102:57786)已打开... 
[2022-08-16 23:48:54.2471] | Debug | DBSvr is starting. 
[2022-08-16 23:48:54.3381] | Info | 数据库配置文件读取完成... 
[2022-08-16 23:48:54.3476] | Warn | 非法网关连接: 10.10.0.102 
[2022-08-16 23:48:54.5481] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-16 23:48:54.6012] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-16 23:48:57.3470] | Warn | 非法网关连接: 10.10.0.102 
[2022-08-16 23:49:14.2471] | Warn | 非法网关连接: 10.10.0.102 
[2022-08-16 23:49:24.2479] | Warn | 非法网关连接: 10.10.0.102 
[2022-08-16 23:49:34.2496] | Warn | 非法网关连接: 10.10.0.102 
[2022-08-16 23:49:44.2513] | Warn | 非法网关连接: 10.10.0.102 
